relative_path,duration_s,sample_rate_hz,channels,bit_depth,file_size_kb
202412011827-79373-14744/202412011827-79373-14744_call_3.wav,63.52,16000,1,32,3969.86
202412011827-79373-14744/202412011827-79373-14744_call_4.wav,67.32,16000,1,32,4207.75
202412011757-965821-14744/202412011757-965821-14744_call_5.wav,72.80,16000,1,32,4549.84
202412011757-965821-14744/202412011757-965821-14744_call_7.wav,60.09,16000,1,32,3755.91
202412011757-965821-14744/202412011757-965821-14744_call_11.wav,90.75,16000,1,32,5671.76
202412011757-965821-14744/202412011757-965821-14744_call_13.wav,184.38,16000,1,32,11523.50
202412011628-752619-14744/202412011628-752619-14744_call_3.wav,97.98,16000,1,32,6123.82
202412011628-752619-14744/202412011628-752619-14744_call_5.wav,126.04,16000,1,32,7877.80
202412011458-971661-14744/202412011458-971661-14744_call_3.wav,76.35,16000,1,32,4771.92
202412011329-642550-14744/202412011329-642550-14744_call_1.wav,69.57,16000,1,32,4347.94
202412011329-642550-14744/202412011329-642550-14744_call_6.wav,72.89,16000,1,32,4555.87
202412011259-954439-14744/202412011259-954439-14744_call_11.wav,69.57,16000,1,32,4347.94
202412011129-706765-14744/202412011129-706765-14744_call_4.wav,139.00,16000,1,32,8687.72
202412010731-280830-14744/202412010731-280830-14744_call_1.wav,97.28,16000,1,32,6079.77
202412010701-875456-14744/202412010701-875456-14744_call_6.wav,62.30,16000,1,32,3893.86
202412010631-989125-14744/202412010631-989125-14744_call_2.wav,100.38,16000,1,32,6273.79
202412010631-989125-14744/202412010631-989125-14744_call_7.wav,137.47,16000,1,32,8591.78
202412010133-841696-14744/202412010133-841696-14744_call_2.wav,66.78,16000,1,32,4173.89
202412010103-352910-14744/202412010103-352910-14744_call_1.wav,76.03,16000,1,32,4751.84
202412010103-352910-14744/202412010103-352910-14744_call_17.wav,63.71,16000,1,32,3981.93
202412010103-352910-14744/202412010103-352910-14744_call_18.wav,66.85,16000,1,32,4177.91
202412010033-478455-14744/202412010033-478455-14744_call_16.wav,95.49,16000,1,32,5967.90
202412010033-478455-14744/202412010033-478455-14744_call_17.wav,76.03,16000,1,32,4751.85
202412010003-151569-14744/202412010003-151569-14744_call_8.wav,73.15,16000,1,32,4571.88
202412022118-596624-14744/202412022118-596624-14744_call_3.wav,72.35,16000,1,32,4521.87
202412021948-545512-14744/202412021948-545512-14744_call_8.wav,82.69,16000,1,32,5167.87
202412021948-545512-14744/202412021948-545512-14744_call_15.wav,60.48,16000,1,32,3779.86
202412021919-979320-14744/202412021919-979320-14744_call_3.wav,69.02,16000,1,32,4313.87
202412021919-979320-14744/202412021919-979320-14744_call_6.wav,76.38,16000,1,32,4773.85
202412021849-961283-14744/202412021849-961283-14744_call_6.wav,110.49,16000,1,32,6905.81
202412021649-160048-14744/202412021649-160048-14744_call_7.wav,113.53,16000,1,32,7095.80
202412021649-160048-14744/202412021649-160048-14744_call_8.wav,60.57,16000,1,32,3785.92
202412021649-160048-14744/202412021649-160048-14744_call_11.wav,61.31,16000,1,32,3831.95
202412021649-160048-14744/202412021649-160048-14744_call_15.wav,65.98,16000,1,32,4123.89
202412021620-158388-14744/202412021620-158388-14744_call_10.wav,61.37,16000,1,32,3835.92
202412021550-623977-14744/202412021550-623977-14744_call_2.wav,76.35,16000,1,32,4771.93
202412021520-274679-14744/202412021520-274679-14744_call_10.wav,66.78,16000,1,32,4173.95
202412021520-274679-14744/202412021520-274679-14744_call_12.wav,62.65,16000,1,32,3915.89
202412021321-120801-14744/202412021321-120801-14744_call_13.wav,71.42,16000,1,32,4463.88
202412021321-120801-14744/202412021321-120801-14744_call_14.wav,74.05,16000,1,32,4627.87
202412021221-293690-14744/202412021221-293690-14744_call_11.wav,65.44,16000,1,32,4089.92
202412021121-31317-14744/202412021121-31317-14744_call_1.wav,61.50,16000,1,32,3843.89
202412021121-31317-14744/202412021121-31317-14744_call_2.wav,157.27,16000,1,32,9829.69
202412021121-31317-14744/202412021121-31317-14744_call_13.wav,60.32,16000,1,32,3769.87
202412021051-90715-14744/202412021051-90715-14744_call_9.wav,109.82,16000,1,32,6863.78
202412021022-748072-14744/202412021022-748072-14744_call_9.wav,131.68,16000,1,32,8229.76
202412021022-748072-14744/202412021022-748072-14744_call_10.wav,107.87,16000,1,32,6741.84
202412021022-748072-14744/202412021022-748072-14744_call_13.wav,61.60,16000,1,32,3849.93
202412020952-344688-14744/202412020952-344688-14744_call_8.wav,122.11,16000,1,32,7631.87
202412020952-344688-14744/202412020952-344688-14744_call_14.wav,97.85,16000,1,32,6115.83
202412020852-274354-14744/202412020852-274354-14744_call_3.wav,153.66,16000,1,32,9603.74
202412020852-274354-14744/202412020852-274354-14744_call_6.wav,76.70,16000,1,32,4793.87
202412032010-746162-14744/202412032010-746162-14744_call_4.wav,75.13,16000,1,32,4695.80
202412032010-746162-14744/202412032010-746162-14744_call_15.wav,178.55,16000,1,32,11159.68
202412031512-254309-14744/202412031512-254309-14744_call_12.wav,139.48,16000,1,32,8717.70
202412031512-254309-14744/202412031512-254309-14744_call_16.wav,74.49,16000,1,32,4655.92
202412031043-922113-14744/202412031043-922113-14744_call_16.wav,71.07,16000,1,32,4441.89
202412031043-922113-14744/202412031043-922113-14744_call_18.wav,73.31,16000,1,32,4581.89
202412031014-147198-14744/202412031014-147198-14744_call_15.wav,108.35,16000,1,32,6771.91
202412030645-78853-14744/202412030645-78853-14744_call_1.wav,68.54,16000,1,32,4283.89
202412041703-315276-14744/202412041703-315276-14744_call_6.wav,64.35,16000,1,32,4021.91
202412041633-305286-14744/202412041633-305286-14744_call_2.wav,82.33,16000,1,32,5145.80
202412041604-460429-14744/202412041604-460429-14744_call_8.wav,66.46,16000,1,32,4153.86
202412041604-460429-14744/202412041604-460429-14744_call_10.wav,88.89,16000,1,32,5555.84
202412041604-460429-14744/202412041604-460429-14744_call_12.wav,83.64,16000,1,32,5227.85
202412041504-223876-14744/202412041504-223876-14744_call_2.wav,104.32,16000,1,32,6519.79
202412041504-223876-14744/202412041504-223876-14744_call_7.wav,64.13,16000,1,32,4007.92
202412041404-980189-14744/202412041404-980189-14744_call_13.wav,62.53,16000,1,32,3907.90
202412041305-617206-14744/202412041305-617206-14744_call_14.wav,62.37,16000,1,32,3897.94
202412041305-617206-14744/202412041305-617206-14744_call_24.wav,119.13,16000,1,32,7445.75
202412041235-634426-14744/202412041235-634426-14744_call_13.wav,77.89,16000,1,32,4867.90
202412041135-308215-14744/202412041135-308215-14744_call_10.wav,66.62,16000,1,32,4163.92
202412041105-688240-14744/202412041105-688240-14744_call_1.wav,71.74,16000,1,32,4483.86
202412041035-161261-14744/202412041035-161261-14744_call_8.wav,93.34,16000,1,32,5833.81
202412041035-161261-14744/202412041035-161261-14744_call_16.wav,99.77,16000,1,32,6235.82
202412041035-161261-14744/202412041035-161261-14744_call_21.wav,71.74,16000,1,32,4483.88
202412040936-56143-14744/202412040936-56143-14744_call_8.wav,65.98,16000,1,32,4123.91
202412040736-239835-14744/202412040736-239835-14744_call_4.wav,85.69,16000,1,32,5355.76
202412040736-239835-14744/202412040736-239835-14744_call_6.wav,62.27,16000,1,32,3891.91
202412040707-510207-14744/202412040707-510207-14744_call_8.wav,60.64,16000,1,32,3789.91
202412040637-530611-14744/202412040637-530611-14744_call_6.wav,61.69,16000,1,32,3855.91
202412040637-530611-14744/202412040637-530611-14744_call_16.wav,60.80,16000,1,32,3799.82
202412040607-588047-14744/202412040607-588047-14744_call_11.wav,144.60,16000,1,32,9037.64
202412040437-202163-14744/202412040437-202163-14744_call_4.wav,101.40,16000,1,32,6337.80
202412040437-202163-14744/202412040437-202163-14744_call_7.wav,69.12,16000,1,32,4319.89
202412040437-202163-14744/202412040437-202163-14744_call_11.wav,74.85,16000,1,32,4677.93
202412040437-202163-14744/202412040437-202163-14744_call_14.wav,87.32,16000,1,32,5457.80
202412052024-368891-14744/202412052024-368891-14744_call_3.wav,63.55,16000,1,32,3971.94
202412051924-328638-14744/202412051924-328638-14744_call_9.wav,91.55,16000,1,32,5721.88
202412051825-927802-14744/202412051825-927802-14744_call_9.wav,106.56,16000,1,32,6659.80
202412051625-683830-14744/202412051625-683830-14744_call_9.wav,60.64,16000,1,32,3789.88
202412051556-238089-14744/202412051556-238089-14744_call_6.wav,99.58,16000,1,32,6223.87
202412051556-238089-14744/202412051556-238089-14744_call_12.wav,64.93,16000,1,32,4057.90
202412051526-82544-14744/202412051526-82544-14744_call_17.wav,65.31,16000,1,32,4081.91
202412051456-239162-14744/202412051456-239162-14744_call_1.wav,60.13,16000,1,32,3757.93
202412051426-130496-14744/202412051426-130496-14744_call_9.wav,78.69,16000,1,32,4917.86
202412051426-130496-14744/202412051426-130496-14744_call_10.wav,77.82,16000,1,32,4863.90
202412051157-727845-14744/202412051157-727845-14744_call_15.wav,66.53,16000,1,32,4157.93
202412051127-142191-14744/202412051127-142191-14744_call_3.wav,63.07,16000,1,32,3941.89
202412051057-181346-14744/202412051057-181346-14744_call_11.wav,73.21,16000,1,32,4575.90
202412051057-181346-14744/202412051057-181346-14744_call_15.wav,65.28,16000,1,32,4079.88
202412051027-292877-14744/202412051027-292877-14744_call_6.wav,94.33,16000,1,32,5895.85
202412051027-292877-14744/202412051027-292877-14744_call_9.wav,66.65,16000,1,32,4165.95
202412050858-692837-14744/202412050858-692837-14744_call_2.wav,75.45,16000,1,32,4715.85
202412050858-692837-14744/202412050858-692837-14744_call_8.wav,83.87,16000,1,32,5241.89
202412050728-925202-14744/202412050728-925202-14744_call_6.wav,64.25,16000,1,32,4015.91
202412050459-375222-14744/202412050459-375222-14744_call_1.wav,62.21,16000,1,32,3887.95
202412050459-375222-14744/202412050459-375222-14744_call_3.wav,65.57,16000,1,32,4097.90
202412050459-375222-14744/202412050459-375222-14744_call_16.wav,110.62,16000,1,32,6913.83
202412050429-519717-14744/202412050429-519717-14744_call_21.wav,62.21,16000,1,32,3887.93
202412050300-652567-14744/202412050300-652567-14744_call_1.wav,131.03,16000,1,32,8189.71
202412050230-586791-14744/202412050230-586791-14744_call_3.wav,100.03,16000,1,32,6251.80
202412062245-563552-14744/202412062245-563552-14744_call_12.wav,66.21,16000,1,32,4137.92
202412061946-893089-14744/202412061946-893089-14744_call_2.wav,84.54,16000,1,32,5283.85
202412061946-893089-14744/202412061946-893089-14744_call_3.wav,100.35,16000,1,32,6271.80
202412061916-44690-14744/202412061916-44690-14744_call_12.wav,65.12,16000,1,32,4069.96
202412061916-44690-14744/202412061916-44690-14744_call_14.wav,212.92,16000,1,32,13307.68
202412061448-597093-14744/202412061448-597093-14744_call_6.wav,64.35,16000,1,32,4021.88
202412061448-597093-14744/202412061448-597093-14744_call_8.wav,71.68,16000,1,32,4479.90
202412061448-597093-14744/202412061448-597093-14744_call_12.wav,115.20,16000,1,32,7199.82
202412061448-597093-14744/202412061448-597093-14744_call_13.wav,86.52,16000,1,32,5407.85
202412061348-251491-14744/202412061348-251491-14744_call_8.wav,62.88,16000,1,32,3929.92
202412061348-251491-14744/202412061348-251491-14744_call_9.wav,69.12,16000,1,32,4319.88
202412061019-707526-14744/202412061019-707526-14744_call_6.wav,97.02,16000,1,32,6063.82
